findMPP();
VBattMax=693
VBatt	ISolar	D	Pl	MPP
637	0	0	0	0
637	0	5	645	5
637	1	10	2580	10
637	1	15	4515	15
637	2	20	7095	20
637	4	25	10320	25
638	5	30	14212	30
638	7	35	18734	35
638	9	40	23902	40
639	11	45	29115	45
639	13	50	34938	50
639	16	55	41408	55
639	18	60	48525	60
639	21	65	56289	65
640	24	70	63504	70
640	27	75	71928	75
640	31	80	80352	80
641	41	85	107734	85
643	53	90	138663	90
643	56	95	147126	95
643	57	100	149079	100
643	52	105	136059	100
644	55	110	143440	100
643	50	115	130851	100
643	51	120	133455	100
643	51	125	134757	100
643	48	130	124992	100
643	48	135	125643	100
643	42	140	111321	100
643	45	145	117831	100
642	41	150	107250	100
643	42	155	110670	100
643	39	160	102858	100
643	40	165	104160	100
643	38	170	98952	100
643	38	175	99603	100
642	36	180	93600	100
643	36	185	95046	100
642	34	190	89050	100
642	26	195	68250	100
642	33	200	86450	100
642	26	205	67600	100
642	32	210	85150	100
642	29	215	75400	100
642	30	220	79300	100
642	29	225	76700	100
642	28	230	74750	100
642	26	235	68900	100
642	27	240	72150	100
641	22	245	58410	100
641	26	250	68145	100
641	26	255	67496	100
