findMPP();
VBattMax=693
VBatt	ISolar	D	Pl	MPP
641	0	0	0	0
641	0	5	649	5
641	0	10	1947	10
641	1	15	3894	15
641	2	20	6490	20
641	3	25	9086	25
641	4	30	12331	30
641	6	35	15576	35
642	7	40	19500	40
642	9	45	24050	45
642	10	50	27950	50
642	12	55	33150	55
642	14	60	37700	60
643	16	65	42966	65
643	18	70	46872	70
643	19	75	51429	75
643	21	80	55986	80
643	22	85	57288	85
643	23	90	61194	90
643	23	95	61845	95
643	23	100	61845	95
643	24	105	63798	105
643	24	110	64449	110
643	24	115	63798	110
643	23	120	61845	110
643	23	125	59892	110
643	22	130	58590	110
643	21	135	56637	110
643	20	140	54033	110
643	21	145	55335	110
643	20	150	52080	110
643	20	155	52731	110
643	20	160	52731	110
643	16	165	42966	110
643	18	170	48174	110
643	18	175	48825	110
644	20	180	52160	110
643	18	185	48174	110
643	16	190	41664	110
643	16	195	41664	110
643	13	200	33852	110
643	16	205	42966	110
643	17	210	46221	110
643	11	215	28644	110
643	14	220	38409	110
643	13	225	35805	110
643	15	230	39060	110
643	16	235	42315	110
643	15	240	39711	110
643	12	245	31899	110
643	13	250	35154	110
643	12	255	32550	110
