findMPP();
VBattMax=693
VBatt	ISolar	D	Pl	MPP
644	0	0	0	0
644	0	5	652	5
644	0	10	1956	10
644	1	15	3912	15
644	2	20	6520	20
644	3	25	9128	25
644	4	30	12388	30
645	6	35	16325	35
645	7	40	19590	40
645	9	45	24161	45
645	11	50	28732	50
646	12	55	33354	55
646	14	60	38586	60
646	16	65	43818	65
646	18	70	47088	70
647	19	75	51745	75
647	20	80	54365	80
647	22	85	58295	85
647	23	90	62225	90
648	23	95	62320	95
648	23	100	62320	95
648	24	105	63632	105
648	24	110	62976	105
648	24	115	62976	105
648	24	120	63632	105
648	23	125	62320	105
648	23	130	60352	105
648	22	135	58384	105
648	23	140	61008	105
648	20	145	52480	105
648	19	150	51824	105
648	21	155	55104	105
648	18	160	49200	105
648	21	165	56416	105
648	18	170	47888	105
648	18	175	48544	105
648	19	180	51168	105
648	19	185	51168	105
648	17	190	45264	105
648	15	195	41328	105
648	17	200	44608	105
648	17	205	44608	105
648	16	210	41984	105
648	10	215	26896	105
648	17	220	44608	105
648	16	225	43952	105
648	13	230	34768	105
648	14	235	38704	105
648	13	240	35424	105
648	15	245	41328	105
648	12	250	32800	105
647	10	255	26200	105
